date,gross_pnl,net_pnl,regime
2024-07-31,-123.06727661537025,-123.06727661537025,MODERATE
2024-08-07,-238.03489191122367,-238.03489191122367,NO_TRADE
2024-08-09,-58.27481063010737,-58.27481063010737,NO_TRADE
2024-08-14,-62.422390430261885,-62.422390430261885,NO_TRADE
2024-08-23,99.06645806469669,99.06645806469669,MODERATE
2024-08-29,-28.347372823460546,-28.347372823460546,MODERATE
2024-09-06,-106.96741815262499,-106.96741815262499,NO_TRADE
2024-09-10,-36.6430313445278,-36.6430313445278,NO_TRADE
2024-09-17,33.186727522661386,33.186727522661386,MODERATE
2024-10-03,18.86295284270659,18.86295284270659,NO_TRADE
2024-10-07,10.40247917128454,10.40247917128454,NO_TRADE
2024-10-09,-27.14651981659358,-27.14651981659358,NO_TRADE
2024-10-14,-51.22111176780095,-51.22111176780095,NO_TRADE
2024-10-17,-60.73079906223256,-60.73079906223256,NO_TRADE
2024-10-23,-2.0809131307396456,-2.0809131307396456,NO_TRADE
2024-10-25,-15.158187166319976,-15.158187166319976,NO_TRADE
2024-10-29,27.047394211490428,27.047394211490428,NO_TRADE
2024-11-04,43.395305644854716,43.395305644854716,NO_TRADE
2024-11-06,-182.88884800313667,-182.88884800313667,NO_TRADE
2024-11-21,3.169960754848944,3.169960754848944,MODERATE
2024-12-20,-98.39874423612173,-98.39874423612173,NO_TRADE
2024-12-31,-61.13488216664905,-61.13488216664905,MODERATE
2025-01-08,-75.2500070445194,-75.2500070445194,MODERATE
2025-01-14,-85.38948463183033,-85.38948463183033,NO_TRADE
2025-01-28,64.11716039686439,64.11716039686439,MODERATE
2025-02-05,-30.6170048123613,-30.6170048123613,MODERATE
2025-02-27,-90.85760292542204,-90.85760292542204,NO_TRADE
2025-03-03,-105.5694960262997,-105.5694960262997,NO_TRADE
2025-03-06,42.04907725063208,42.04907725063208,NO_TRADE
2025-03-10,32.903052850092536,32.903052850092536,NO_TRADE
2025-03-12,-27.535719514700077,-27.535719514700077,NO_TRADE
2025-03-17,-66.40341210740985,-66.40341210740985,NO_TRADE
2025-03-20,-4.969975537932214,-4.969975537932214,NO_TRADE
2025-04-02,120.94228623263689,120.94228623263689,NO_TRADE
2025-04-10,-84.74918160555148,-84.74918160555148,NO_TRADE
2025-04-14,-209.7797010927991,-209.7797010927991,NO_TRADE
2025-04-21,64.60947976786883,64.60947976786883,NO_TRADE
2025-04-23,-202.301450167447,-202.301450167447,NO_TRADE
2025-04-30,13.359785881071957,13.359785881071957,NO_TRADE
2025-05-02,-43.47094426266494,-43.47094426266494,NO_TRADE
2025-05-08,-72.88470048794125,-72.88470048794125,NO_TRADE
2025-05-16,-56.732074131073205,-56.732074131073205,MODERATE
2025-05-21,46.36345375066071,46.36345375066071,NO_TRADE
2025-05-23,66.6031560735803,66.6031560735803,NO_TRADE
2025-05-28,-54.73798389667081,-54.73798389667081,NO_TRADE
2025-05-30,41.17823701653151,41.17823701653151,NO_TRADE
2025-06-10,-15.55355221993068,-15.55355221993068,MODERATE
2025-06-12,-41.67707291107149,-41.67707291107149,MODERATE
2025-06-17,-17.050181356304392,-17.050181356304392,NO_TRADE
2025-06-20,-17.039363229607716,-17.039363229607716,NO_TRADE
2025-06-24,-92.900390625,-92.900390625,NO_TRADE
2025-07-08,123.599853515625,123.599853515625,MODERATE
